Gene	Type	Number of isoform	Jaccard Index	Dice coefficient	Overlap coefficient	Redundance metric	Stdev number GO term	BP similarity	CC similarity	MF similarity
ENSMUSG00000031149	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031150	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000000134	Observed	4	0.986842105263158	0.9933333333333333	1.0	0.9736842105263158	1.299038105676658	0.9990000000000001	0.9864999999999999	1.0
ENSMUSG00000031153	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000009731	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031154	Observed	5	0.6541176470588236	0.7570247933884297	1.0	0.711764705882353	48.00999895855029	0.8235999999999997	1.0	0.9592000000000003
ENSMUSG00000031155	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031156	Observed	8	0.8276750423489553	0.8978870336013196	1.0	0.7608695652173914	6.963072238602727	0.9903571428571425	0.9619642857142852	0.9260357142857141
ENSMUSG00000031158	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000039278	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031161	Observed	3	0.375	0.411764705882353	1.0	0.53125	226.27416997969522	0.49666666666666676	0.8346666666666667	0.6053333333333333
ENSMUSG00000031162	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000039231	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031165	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031167	Observed	2	0.7795275590551181	0.8761061946902655	1.0	0.7795275590551181	14.0	0.916	1.0	1.0
ENSMUSG00000039201	Observed	4	0.9673913043478262	0.9831460674157304	1.0	0.9347826086956522	1.299038105676658	1.0	0.9940000000000001	0.9689999999999999
ENSMUSG00000031168	Observed	2	0.44	0.6111111111111112	1.0	0.44	21.0	0.563	0.978	0.807
ENSMUSG00000031169	Observed	4	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031171	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031170	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068219	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068218	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079705	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000023165	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079704	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079702	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079701	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079703	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000035371	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071816	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079699	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079697	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078208	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000060685	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078206	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071815	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000072249	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000045797	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000047344	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000015342	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000100200	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000100448	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000015340	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000061065	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000040456	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000054453	Observed	2	0.9387755102040817	0.968421052631579	1.0	0.9387755102040817	1.5	1.0	1.0	0.925
ENSMUSG00000090084	Observed	3	0.9874213836477987	0.9936507936507937	1.0	0.9905660377358491	1.4142135623730951	1.0	0.9973333333333333	0.3333333333333333
ENSMUSG00000031174	Observed	6	0.8646913580246914	0.922953173174152	0.992233009708738	0.8962962962962964	14.395215254459456	0.9365333333333334	1.0	0.5808666666666669
ENSMUSG00000031173	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000058254	Observed	2	0.7	0.8235294117647058	1.0	0.7	3.0	1.0	0.94	0.0
ENSMUSG00000008035	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000100626	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000101819	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096097	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094904	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095413	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095655	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095662	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000099443	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095445	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000069038	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000040363	Observed	4	0.935251798561151	0.9653846153846155	1.0	0.8705035971223022	7.794228634059948	0.9895	1.0	0.953
ENSMUSG00000031007	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000064127	Observed	3	0.6923076923076922	0.7999999999999999	1.0	0.5384615384615384	22.627416997969522	0.8133333333333334	0.9606666666666666	1.0
ENSMUSG00000031010	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000000787	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000051228	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031012	Observed	5	0.3020607204656284	0.36689446993479835	1.0	0.37116564417177916	68.37543418509311	0.29719999999999996	0.7347999999999999	0.5879999999999999
ENSMUSG00000040229	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000047678	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078346	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000023257	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000025037	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000040147	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000025038	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000025043	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037369	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037358	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037347	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037341	Observed	3	0.6573739200321479	0.7767355653579858	1.0	0.7202380952380952	18.732028424302822	0.935	0.7473333333333333	0.9886666666666667
ENSMUSG00000060090	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037315	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000023070	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031060	Observed	3	0.9503875968992248	0.9742351046698873	1.0	0.9255813953488372	7.542472332656507	0.9786666666666667	1.0	1.0
ENSMUSG00000001924	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031065	Observed	2	0.7925531914893617	0.884272997032641	1.0	0.7925531914893617	19.5	0.937	0.981	0.98
ENSMUSG00000031066	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000001127	Observed	4	0.3888888888888889	0.5474844984758472	0.8687002652519893	0.2777777777777778	33.93007515464709	0.622	0.0	0.8874999999999998
ENSMUSG00000037217	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000001131	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000001128	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000009406	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000001134	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000054737	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031079	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068122	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031089	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000101818	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036782	Observed	5	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036769	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068113	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000084063	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000081218	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000093923	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096620	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073267	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079655	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000082639	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000083628	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095063	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071788	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000080725	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095546	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095293	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094624	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096457	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095887	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073257	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073255	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094759	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095754	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118441	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118465	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096645	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118431	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095770	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096194	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118459	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094601	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118409	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000101294	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095934	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000078324	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000096915	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118429	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095659	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000118438	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073247	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000073245	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031093	Observed	3	0.9	0.9459459459459459	1.0	0.925	5.656854249492381	0.9780000000000001	0.3333333333333333	1.0
ENSMUSG00000017057	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036699	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000016239	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000091556	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000006373	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000059708	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000037636	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000016308	Observed	5	0.47448275862068956	0.5325153374233128	1.0	0.3431034482758621	62.217039466692725	0.4	0.4	0.9046
ENSMUSG00000006423	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000044149	Observed	2	0.801980198019802	0.8901098901098901	0.9759036144578314	0.801980198019802	8.0	0.866	0.991	0.987
ENSMUSG00000050379	Observed	3	0.8630952380952381	0.9237147595356551	1.0	0.7946428571428571	10.842303978193728	0.8746666666666667	0.9813333333333333	0.9953333333333333
ENSMUSG00000079641	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036572	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000016409	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036551	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036537	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079639	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000094945	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071771	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079636	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079635	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095698	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079633	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071770	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095510	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079630	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000080933	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000079628	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000071769	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000095180	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000006200	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000068048	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000048047	Observed	2	0.9583333333333334	0.9787234042553191	1.0	0.9583333333333334	2.5	0.999	0.957	1.0
ENSMUSG00000036502	Observed	2	0.2222222222222222	0.36363636363636365	1.0	0.2222222222222222	3.5	0.0	1.0	0.0
ENSMUSG00000016327	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000016534	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031095	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000000355	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000048970	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000051361	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000001986	Observed	2	0.9307692307692308	0.9641434262948207	1.0	0.9307692307692308	4.5	0.948	1.0	1.0
ENSMUSG00000037475	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000025860	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000025862	Observed	2	0.8904109589041096	0.9420289855072463	1.0	0.8904109589041096	4.0	0.917	1.0	1.0
ENSMUSG00000105993	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000016150	Observed	2	0.8108108108108109	0.8955223880597015	1.0	0.8108108108108109	17.5	0.95	1.0	0.907
ENSMUSG00000078320	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000050926	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000045284	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000046615	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031099	Observed	4	0.6713989086870443	0.7569872073924638	1.0	0.7796610169491526	33.20015060206806	0.6804999999999999	0.8676666666666666	0.968
ENSMUSG00000001173	Observed	4	0.24807692307692306	0.3124804953251195	0.8518518518518517	0.4083333333333334	53.344985706249844	0.6601666666666667	0.16666666666666666	0.16666666666666666
ENSMUSG00000037005	Observed	3	0.7714285714285714	0.8620689655172414	1.0	0.8285714285714286	5.656854249492381	0.3333333333333333	0.9593333333333334	1.0
ENSMUSG00000031101	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036985	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000063785	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036959	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031103	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036932	Observed	2	0.5825688073394495	0.736231884057971	1.0	0.5825688073394495	45.5	0.814	0.968	0.996
ENSMUSG00000031104	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036916	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031105	Observed	3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000051209	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031109	Observed	3	0.5688405797101449	0.6895266703671052	1.0	0.375	17.682382946499793	0.8033333333333333	0.8176666666666667	1.0
ENSMUSG00000036198	Observed	3	0.6430976430976432	0.775095785440613	1.0	0.5555555555555556	3.858612300930075	1.0	0.3333333333333333	0.0
ENSMUSG00000071764	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000067971	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031111	Observed	4	0.5217391304347827	0.5416666666666666	1.0	0.043478260869565216	19.05255888325765	0.5	0.9700000000000001	0.5
ENSMUSG00000056281	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000050504	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000048173	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031112	Observed	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036131	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000050029	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000036109	Observed	3	0.37254901960784315	0.40740740740740744	1.0	0.5294117647058824	30.169889330626027	0.3333333333333333	0.3333333333333333	0.902
ENSMUSG00000062184	Observed	2	0.9318181818181818	0.9647058823529412	1.0	0.9318181818181818	1.5	1.0	0.954	1.0
ENSMUSG00000055780	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
ENSMUSG00000031118	Observed	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
